account_id,account_name,territory,segment,industry,product_motion,pipeline_stage,estimated_acv,open_pipeline,workload_fit_score,data_completeness_pct,customer_health_score,forecast_category,rep_capacity_load_pct,ai_assist_eligible
ACCT0001,Account 0001,Northeast Enterprise,Enterprise,Retail,BYOC Evaluation,Stage 2,164920,143059,65,73,56,Pipeline,89,Yes
ACCT0002,Account 0002,Northeast Enterprise,Enterprise,Fintech,BYOC Evaluation,Target,231033,0,62,90,80,Pipeline,103,Yes
ACCT0003,Account 0003,Northeast Enterprise,Enterprise,Fintech,Cloud Standard,Stage 3,405490,677703,76,95,59,Commit,83,Yes
ACCT0004,Account 0004,Northeast Enterprise,Enterprise,Retail,Cloud Advanced,Engaged,301602,244688,96,79,48,Closed,100,Yes
ACCT0005,Account 0005,Northeast Enterprise,Enterprise,Logistics,Cloud Basic,Engaged,187397,350009,77,92,49,Best Case,115,Yes
ACCT0006,Account 0006,Northeast Enterprise,Enterprise,Fintech,Cloud Standard,Stage 2,760360,1175125,71,94,54,Closed,67,Yes
ACCT0007,Account 0007,Northeast Enterprise,Enterprise,Media,Cloud Standard,Commit,737775,1079233,72,75,71,Pipeline,75,Yes
ACCT0008,Account 0008,Northeast Enterprise,Enterprise,Gaming,BYOC Evaluation,Stage 3,586372,839073,91,99,46,Commit,72,Yes
ACCT0009,Account 0009,Northeast Enterprise,Enterprise,Fintech,Cloud Standard,Stage 1,327938,498970,88,93,56,Closed,113,Yes
ACCT0010,Account 0010,Northeast Enterprise,Enterprise,Cybersecurity,Self-Hosted,Engaged,326856,352225,61,94,87,Closed,103,Watch
ACCT0011,Account 0011,Northeast Enterprise,Enterprise,Logistics,BYOC Evaluation,Stage 1,325457,330433,63,93,76,Best Case,76,Yes
ACCT0012,Account 0012,Northeast Enterprise,Enterprise,Retail,Cloud Standard,Customer,260451,0,79,63,58,Commit,112,Watch
ACCT0013,Account 0013,Northeast Enterprise,Enterprise,SaaS,BYOC Evaluation,Stage 3,511592,969644,72,82,80,Closed,62,Yes
ACCT0014,Account 0014,Northeast Enterprise,Enterprise,Retail,Cloud Advanced,Stage 3,245492,360666,82,75,91,Best Case,91,Yes
ACCT0015,Account 0015,Northeast Enterprise,Enterprise,Gaming,BYOC Evaluation,Target,602202,0,94,74,74,Renewal Risk,117,Yes
ACCT0016,Account 0016,Northeast Enterprise,Enterprise,Gaming,BYOC Evaluation,Stage 2,710530,627688,80,96,54,Renewal Risk,95,Yes
ACCT0017,Account 0017,Northeast Enterprise,Enterprise,SaaS,Cloud Standard,Customer,513267,0,79,59,78,Pipeline,118,Watch
ACCT0018,Account 0018,Northeast Enterprise,Enterprise,Gaming,Cloud Standard,Stage 2,219656,172003,94,89,94,Commit,97,Yes
